,date,daily_return_oil,daily_return_tbill,daily_excess_return
0,2019-12-30,,,
1,2019-12-31,-0.008433344145312938,-0.012987012987012991,0.004553668841700054
2,2020-01-02,0.0004906771344455052,-0.006578947368421018,0.007069624502866523
3,2020-01-03,0.029916625796959195,-0.013245033112582738,0.04316165890954193
4,2020-01-06,0.004285714285714226,0.02684563758389258,-0.022559923298178353
5,2020-01-07,-0.009009009009009028,-0.013071895424836666,0.004062886415827638
6,2020-01-08,-0.04864433811802238,0.0,-0.04864433811802238
7,2020-01-09,-0.001508801341156718,0.0,-0.001508801341156718
8,2020-01-10,-0.00906648757555406,0.0,-0.00906648757555406
9,2020-01-13,-0.014401897661809548,0.019867549668874274,-0.03426944733068382
10,2020-01-14,0.002922468626439745,0.0,0.002922468626439745
11,2020-01-15,-0.008227631127871171,0.0,-0.008227631127871171
12,2020-01-16,0.011406844106463865,-0.012987012987012991,0.024393857093476856
13,2020-01-17,0.0005126452494872424,0.006578947368421018,-0.006066302118933775
14,2020-01-21,-0.005123825789923098,0.0,-0.005123825789923098
15,2020-01-22,-0.025579399141630987,-0.006535947712418277,-0.01904345142921271
16,2020-01-23,-0.022022551092318543,0.0,-0.022022551092318543
17,2020-01-24,-0.02558097640064838,-0.006578947368421018,-0.019002029032227363
18,2020-01-27,-0.018487705675725663,0.0066225165562914245,-0.025110222232017088
19,2020-01-28,0.004520625353173768,0.013157894736842035,-0.008637269383668267
20,2020-01-29,-0.0007500468779298997,-0.006493506493506551,0.0057434596155766515
21,2020-01-30,-0.020641771439294465,0.006535947712418277,-0.027177719151712743
22,2020-01-31,-0.011688062847288738,-0.012987012987012991,0.001298950139724253
23,2020-02-03,-0.029468786351298903,0.013157894736842035,-0.04262668108814094
24,2020-02-04,-0.009388733519776205,0.0,-0.009388733519776205
25,2020-02-05,0.02581165557572085,0.0,0.02581165557572085
26,2020-02-06,0.0013760566149008113,0.0,0.0013760566149008113
27,2020-02-07,-0.011778563015311994,-0.006493506493506551,-0.005285056521805442
28,2020-02-10,-0.014898688915375491,0.013071895424836555,-0.027970584340212046
29,2020-02-11,0.008267795926597987,-0.006451612903225823,0.01471940882982381
30,2020-02-12,0.022599999999999953,0.006493506493506551,0.016106493506493402
31,2020-02-13,0.005476237042831844,0.006451612903225712,-0.0009753758603938678
32,2020-02-14,0.012059910523244621,-0.0064102564102563875,0.01847016693350101
33,2020-02-18,0.0013453776667307071,0.0,0.0013453776667307071
34,2020-02-19,0.023224568138195734,0.0,0.023224568138195734
35,2020-02-20,0.008628775089101426,0.0,0.008628775089101426
36,2020-02-21,-0.007625069741491575,-0.012903225806451646,0.005278156064960071
37,2020-02-24,-0.03748125937031488,-0.019607843137254943,-0.017873416233059936
38,2020-02-25,-0.030763239875389425,0.0,-0.030763239875389425
39,2020-02-26,-0.022298111691442357,0.0,-0.022298111691442357
40,2020-02-27,-0.03081980686254371,-0.053333333333333344,0.022513526470789635
41,2020-02-28,-0.04960780156879374,-0.11971830985915488,0.07011050829036114
42,2020-03-02,0.043497657818425184,-0.11999999999999988,0.16349765781842507
43,2020-03-03,0.010474561778537783,-0.15454545454545454,0.16502001632399232
44,2020-03-04,-0.010365982652845385,-0.23655913978494636,0.22619315713210097
45,2020-03-05,-0.018811457887986327,-0.14084507042253513,0.12203361253454881
46,2020-03-06,-0.10370370370370363,-0.2622950819672131,0.15859137826350944
47,2020-03-09,-0.24526008750607675,-0.28888888888888886,0.04362880138281211
48,2020-03-10,0.11014492753623184,0.34375,-0.23360507246376816
49,2020-03-11,-0.03887438352190298,-0.04651162790697683,0.007637244385073849
50,2020-03-12,-0.047389073347419375,-0.19512195121951215,0.14773287787209277
51,2020-03-13,0.005069708491761693,-0.18181818181818177,0.18688789030994346
52,2020-03-16,-0.08701134930643117,-0.11111111111111116,0.024099761804679987
53,2020-03-17,-0.06906077348066297,-0.20833333333333326,0.13927255985267029
54,2020-03-18,-0.24035608308605338,-0.8947368421052632,0.6543807590192098
55,2020-03-19,0.22509765625,1.0,-0.77490234375
56,2020-03-20,-0.223595057791949,0.25,-0.473595057791949
57,2020-03-23,0.19763860369609842,-0.6000000000000001,0.7976386036960985
58,2020-03-24,-0.09858551221603074,-0.5,0.40141448778396926
59,2020-03-25,-0.013314312886352875,-5.0,4.986685687113647
60,2020-03-26,-0.19999999999999996,0.25,-0.44999999999999996
61,2020-03-27,-0.06746987951807237,-1.6,1.5325301204819277
62,2020-03-30,-0.08914728682170547,3.0,-3.0891472868217056
63,2020-03-31,0.45460992907801434,-0.08333333333333326,0.5379432624113476
64,2020-04-01,-0.011214041930765473,-0.18181818181818188,0.1706041398874164
65,2020-04-02,0.2416173570019724,0.0,0.2416173570019724
66,2020-04-03,0.12629070691024613,0.11111111111111116,0.01517959579913497
67,2020-04-06,-0.07581100141043717,0.4999999999999998,-0.575811001410437
68,2020-04-07,-0.10186951545211753,-0.06666666666666654,-0.03520284878545099
69,2020-04-08,0.06074766355140193,0.5714285714285714,-0.5106809078771695
70,2020-04-09,-0.08289947937525033,0.13636363636363646,-0.2192631157388868
71,2020-04-13,-0.02358078602620084,0.040000000000000036,-0.06358078602620088
72,2020-04-14,-0.09883720930232565,-0.23076923076923073,0.13193202146690508
73,2020-04-15,-0.009429280397022177,-0.29999999999999993,0.29057071960297776
74,2020-04-16,-0.007014028056112287,0.0,-0.007014028056112287
75,2020-04-17,-0.07618567103935425,-0.14285714285714302,0.06667147181778876
76,2020-04-20,-3.0196613872200984,0.0,-3.0196613872200984
